"N0","class","proc","category","area","ITEMS","VOLUME","","SPEK","UNIT PRICE","TOTAL PRICE","UNIT PRICE","TOTAL PRICE","d","%"
"1","AR","M","","1","Raise Level Lantai t=10cm","29.00","m2",""," Rp 408,800 "," Rp 11,855,200 "," Rp 280,000.00 "," Rp 8,120,000 "," Rp 3,735,200.00 ","0.42%"
"2","AR","B","VINYL","1","Pekerjaan Pasang Plywood Underlayer Vinyl","29.00","m2",""," Rp 65,700 "," Rp 1,905,300 "," Rp 45,000.00 "," Rp 1,305,000 "," Rp 600,300.00 ","0.07%"
"3","AR","B","VINYL","1","Pekerjaan Pasang Vinyl Motif ","29.00","m2",""," Rp 554,800 "," Rp 16,089,200 "," Rp 380,000.00 "," Rp 11,020,000 "," Rp 5,069,200.00 ","0.57%"
"4","AR","B","VINYL","1","Pekerjaan Pasang Plint finish kayu","24.00","m'",""," Rp 146,000 "," Rp 3,504,000 "," Rp 100,000.00 "," Rp 2,400,000 "," Rp 1,104,000.00 ","0.12%"
"2.1.4","","","","","Pekerjaan Partisi Kaca, Pintu, Jendela","","","","","","","","0",""
"","","","","","Holding Room","","","","","","","","0",""
"1","AR","B","KACA","1","Pekerjaan Pasang Pintu Kaca","1.00","unit",""," Rp 8,906,000 "," Rp 8,906,000 "," Rp 6,100,000.00 "," Rp 6,100,000 "," Rp 2,806,000.00 ","0.32%"
"","","","","1","   - pintu kaca tempered 10mm dgn floor hinge","","","","","","","","0",""
"","","","","1","   - handle pintu dekkson","","","","","","","","0",""
"","","","","1","   - lockset dekkson","","","","","","","","0",""
"","","","","1","   - door stopper dekkson","","","","","","","","0",""
"","","","","1","   - sticker sandblast","","","","","","","","0",""
"2","AR","B","KACA","1","Pekerjaan Pasang Partisi Kaca Keliling","1.00","set",""," Rp 61,779,900 "," Rp 61,779,900 "," Rp 42,315,000.00 "," Rp 42,315,000 "," Rp 19,464,900.00 ","2.20%"
"","","","","1","- kaca tempered 10 mm","37.00","m²","","",""," Rp 35,520,000.00 ","","0","0.00%"
"","","","","1","- kusen aluminium 3' ex. Alexindo","43.20","m","","",""," Rp 6,480,000.00 ","","0","0.00%"
"","","","","1","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"","","","","1","Opening Jendela Belakang","","","","","","","","0",""
"3","AR","B","KACA","1","Perimeter Kaca Modul A","2.00","set",""," Rp 23,358,540 "," Rp 46,717,080 "," Rp 15,999,000.00 "," Rp 31,998,000 "," Rp 14,719,080.00 ","1.66%"
"","","","","1","- kaca tempered 10 mm","13.65","m²","","",""," Rp 13,104,000.00 ","","0","0.00%"
"","","","","1","- kusen aluminium 3' ex. Alexindo","17.20","m","","",""," Rp 2,580,000.00 ","","0","0.00%"
"","","","","1","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"4","AR","B","KACA","1","Perimeter Kaca Modul B","2.00","set",""," Rp 16,636,992 "," Rp 33,273,984 "," Rp 11,395,200.00 "," Rp 22,790,400 "," Rp 10,483,584.00 ","1.18%"
"","","","","1","- kaca tempered 10 mm","9.49","m²","","",""," Rp 9,115,200.00 ","","0","0.00%"
"","","","","1","- kusen aluminium 3' ex. Alexindo","13.10","m","","",""," Rp 1,965,000.00 ","","0","0.00%"
"","","","","1","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"","","","","1","Akses","","","","","","","","0",""
"5","AR","M","","1","Pekerjaan Pasang Pintu Akses Samping","1.00","unit",""," Rp 4,599,000 "," Rp 4,599,000 "," Rp 3,150,000.00 "," Rp 3,150,000 "," Rp 1,449,000.00 ","0.16%"
"","","","","1","Emergency Exit","","","","","","","","",""
"6","AR","M","","1","Pekerjaan Pasang Pintu Darurat","1.00","unit",""," Rp 4,088,000 "," Rp 4,088,000 "," Rp 2,800,000.00 "," Rp 2,800,000 "," Rp 1,288,000.00 ","0.15%"
"","","","","1","Storage Room","","","","","","","","",""
"7","AR","B","KACA","1","Pekerjaan Pasang Pintu Geser Storage","2.00","unit",""," Rp 4,599,000 "," Rp 9,198,000 "," Rp 3,150,000.00 "," Rp 6,300,000 "," Rp 2,898,000.00 ","0.33%"
"","","","","1","Janitor","","","","","","","","",""
"8","AR","B","KACA","1","Pekerjaan Pasang Pintu Janitor","1.00","unit",""," Rp 4,599,000 "," Rp 4,599,000 "," Rp 3,150,000.00 "," Rp 3,150,000 "," Rp 1,449,000.00 ","0.16%"
"","","","","1","Toilet","","","","","","","","",""
"9","AR","B","KACA","1","Pekerjaan Pasang Pintu Toilet","2.00","unit",""," Rp 4,927,500 "," Rp 9,855,000 "," Rp 3,375,000.00 "," Rp 6,750,000 "," Rp 3,105,000.00 ","0.35%"
"2.2","","","","","LANTAI 2","","","","","","","","0",""
"2.2.1","","","","2","Pekerjaan Partisi Hebel, Gypsum","","","","","","","","0",""
"","","","","2","Jendela Perimeter Mezzanine","","","","","","","","0",""
"1","AR","M","","2","Struktur Kanal C 100","115.00","m",""," Rp 458,805 "," Rp 52,762,575 "," Rp 314,250.00 "," Rp 36,138,750 "," Rp 16,623,825.00 ","1.88%"
"2","AR","B","GYPSUM","2","Pasangan Gypsum 1 sisi Dobel Rangka Hollow","41.00","m²",""," Rp 347,480 "," Rp 14,246,680 "," Rp 238,000.00 "," Rp 9,758,000 "," Rp 4,488,680.00 ","0.51%"
"3","AR","B","CAT","2","Pengecatan Dinding","41.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,693,700 "," Rp 35,000.00 "," Rp 1,435,000 "," Rp 1,258,700.00 ","0.10%"
"4","AR","M","","2","Plat Biru Aluminium","41.00","m²",""," Rp 277,400 "," Rp 11,373,400 "," Rp 190,000.00 "," Rp 7,790,000 "," Rp 3,583,400.00 ","0.40%"
"","","","","2","General Area","","","","","","","","",""
"1","AR","M","","2","Perapihan Dinding ex-bongkaran","5.00","m²",""," Rp 160,600 "," Rp 803,000 ","0","0"," Rp 803,000.00 ","0.03%"
"2","AR","M","","2","Plester - Aci Dinding","90.60","m²",""," Rp 175,200 "," Rp 15,873,120 "," Rp 120,000.00 "," Rp 10,872,000 "," Rp 5,001,120.00 ","0.56%"
"3","AR","B","CAT","2","Pengecatan Dinding","100.80","m²","Dulux Pentalite"," Rp 65,700 "," Rp 6,622,560 "," Rp 35,000.00 "," Rp 3,528,000 "," Rp 3,094,560.00 ","0.24%"
"4","AR","B","CAT","2","Pengecatan Dinding Eksterior Area Tangga Darurat","10.20","m²","Dulux Weathershield"," Rp 90,520 "," Rp 923,304 "," Rp 35,000.00 "," Rp 357,000 "," Rp 566,304.00 ","0.03%"
"2.2.2","","","","","Pekerjaan Plafond","","","","","","","","0",""
"1","PR","M","","2","Pengukuran dan Kalibrasi Level Plafond","1.00","ls",""," Rp 511,000 "," Rp 511,000 ","0","0"," Rp 511,000.00 ","0.02%"
"2","AR","B","GYPSUM","2","Pasang Rangka Plafond Hollow","215.00","m²","Hollow 0,4"," Rp 350,400 "," Rp 75,336,000 "," Rp 47,700.00 "," Rp 10,255,500 "," Rp 65,080,500.00 ","2.68%"
"3","AR","B","GYPSUM","2","Pekerjaan Pasang  Plafond Gypsum Drop Ceiling","215.00","m²","A- plus"," Rp 131,400 "," Rp 28,251,000 "," Rp 44,500.00 "," Rp 9,567,500 "," Rp 18,683,500.00 ","1.01%"
"4","AR","B","GYPSUM","2","Pengecatan Plafond Gypsum ","215.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 14,125,500 "," Rp 35,000.00 "," Rp 7,525,000 "," Rp 6,600,500.00 ","0.50%"
"2.2.3","","","","","Pekerjaan Penutup Lantai","","","","","","","","0",""
"","","","","","General Area","","","","","","","","",""
"1","AR","B","KARPET","2","Pekerjaan Pasang Plywood Underlayer Karpet","215.00","m²",""," Rp 65,700 "," Rp 14,125,500 "," Rp 45,000.00 "," Rp 9,675,000 "," Rp 4,450,500.00 ","0.50%"
"2","AR","B","KARPET","2","Pekerjaan Pasang Karpet + Material Karpet Tile","215.00","m²",""," Rp 393,750 "," Rp 84,656,250 "," Rp 315,000.00 "," Rp 67,725,000 "," Rp 16,931,250.00 ","3.01%"
"3","AR","B","KARPET","2","Pekerjaan Pasang Skirting ","58.65","m'",""," Rp 109,500 "," Rp 6,422,341 "," Rp 75,000.00 "," Rp 4,398,863 "," Rp 2,023,477.21 ","0.23%"
"2.2.4","","","","","Pekerjaan Partisi Kaca, Pintu, Jendela","","","","","","","","0",""
"","","","","","Emergency Exit","","","","","","","","0",""
"1","AR","M","EL","2","Pekerjaan Pasang Pintu Darurat","1.00","unit",""," Rp 4,088,000 "," Rp 4,088,000 ","0","0"," Rp 4,088,000.00 ","0.15%"
"","","","","","Workstation","","","","","","","","0",""
"2","AR","B","KACA","2","Partisi Kaca Manager","3.00","unit",""," Rp 7,033,718 "," Rp 21,101,155 "," Rp 4,817,615.32 "," Rp 14,452,846 "," Rp 6,648,309.14 ","0.75%"
"","","","","","- kaca tempered 10 mm","3.80","m²",""," Rp 5,326,080 ",""," Rp 3,648,000.00 ","","0","0.00%"
"","","","","","- Glass Clip","7.80","m²",""," Rp 1,707,638 ",""," Rp 1,169,615.32 ","","0","0.00%"
"","","","","","Jendela Perimeter Mezzanine","","","","","","","","0",""
"3","AR","B","KACA","2","Pekerjaan Pasang Kaca Primeter R. Meeting Kecil","8.50","unit",""," Rp 3,913,586 "," Rp 33,265,480 "," Rp 2,680,538.29 "," Rp 22,784,575 "," Rp 10,480,904.70 ","1.18%"
"","","","","","   - partisi kusen aluminium dan kaca 6 mm","4.80","m2",""," Rp 2,698,080 ",""," Rp 1,848,000.00 ","","0","0.00%"
"","","","","","- kusen aluminium 4' ex. Alexindo","4.38","m",""," Rp 1,215,506 ",""," Rp 832,538.29 ","","0","0.00%"
"","","","","","Small Meeting Room","","","","","","","","0",""
"4","AR","B","KACA","2","Pekerjaan Pasang Pintu Kaca R. Meeting Kecil","","","","","","","","0",""
"","","","","","   - pintu kaca tempered  10mm dgn floor hinge","1.00","unit",""," Rp 8,906,000 "," Rp 8,906,000 "," Rp 6,100,000.00 "," Rp 6,100,000 "," Rp 2,806,000.00 ","0.32%"
"","","","","","   - handle pintu dekkson","","","","","","","","0",""
"","","","","","   - lockset dekkson","","","","","","","","0",""
"","","","","","   - door stopper dekkson","","","","","","","","0",""
"","","","","","   - sticker sandblast","","","","","","","","0",""
"5","AR","B","KACA","2","Pekerjaan Pasang Partisi Kaca Keliling","1.00","set",""," Rp 22,040,160 "," Rp 22,040,160 "," Rp 15,096,000.00 "," Rp 15,096,000 "," Rp 6,944,160.00 ","0.78%"
"","","","","","- kaca tempered 10 mm","12.60","m²","","",""," Rp 12,096,000.00 ","","0","0.00%"
"","","","","","- kusen aluminium 3' ex. Alexindo","17.90","m","","",""," Rp 2,685,000.00 ","","0","0.00%"
"","","","","","- sticker sandblast","0.00","m²","","",""," Rp 315,000.00 ","","0","0.00%"
"SubTotal Pekerjaan Arsitektur","","","","","","","","",""," Rp 1,253,065,650 ",""," Rp 694,780,822 "," Rp 558,284,828 ","44.60%"
"3","","","","","PEKERJAAN MEP","","","","","","","","",""
"3.1","","","","","LANTAI 1","","","","","","","","0",""
"3.1.1","","","","","Pekerjaan Utilitas","","","","","","","","0",""
"","","","","1","Persiapan dan Penyambungan","","","","","","","","0","0.71%"
"1","BK","M","","1","Bongkar Plafond  Eksisting untuk Jalur Instalasi Air","14.00","m2",""," Rp 21,900 "," Rp 306,600 ","0","0"," Rp 306,600.00 ","0.01%"
"2","PL","M","","1","Penyambungan Instalasi Air Bersih","1.00","ls",""," Rp 1,168,000 "," Rp 1,168,000 "," Rp 800,000.00 "," Rp 800,000 "," Rp 368,000.00 ","0.04%"
"3","AR","M","","1","Penutupan dan Perapihan Plafond ex-bongkaran","14.00","m2","A- plus"," Rp 306,600 "," Rp 4,292,400 ","0","0"," Rp 4,292,400.00 ","0.15%"
"4","BK","M","","1","Bongkar Lantai Eksisting untuk Jalur Instalasi Air","14.00","m2",""," Rp 87,600 "," Rp 1,226,400 ","0","0"," Rp 1,226,400.00 ","0.04%"
"5","PL","M","","1","Penyambungan Instalasi Air Kotor","1.00","ls",""," Rp 1,460,000 "," Rp 1,460,000 "," Rp 1,000,000.00 "," Rp 1,000,000 "," Rp 460,000.00 ","0.05%"
"6","PL","M","","1","Penyambungan Instalasi Air Bekas","1.00","ls",""," Rp 1,314,000 "," Rp 1,314,000 "," Rp 900,000.00 "," Rp 900,000 "," Rp 414,000.00 ","0.05%"
"7","AR","M","","1","Penutupan dan Perapihan Lantai ex-bongkaran","14.00","m2",""," Rp 730,000 "," Rp 10,220,000 "," Rp 500,000.00 "," Rp 7,000,000 "," Rp 3,220,000.00 ","0.36%"
"","","","","1","Toilet Pria","","","","","","","","","2.06%"
"1","PL","M","","1","Instalasi Air Bersih","8.00","ls",""," Rp 489,343 "," Rp 3,914,747 "," Rp 335,166.67 "," Rp 2,681,333 "," Rp 1,233,413.33 ","0.14%"
"2","PL","M","","1","Instalasi Air Bekas","6.00","ls",""," Rp 598,600 "," Rp 3,591,600 "," Rp 410,000.00 "," Rp 2,460,000 "," Rp 1,131,600.00 ","0.13%"
"3","PL","M","","1","Instalasi Air Kotor","6.00","ls",""," Rp 803,000 "," Rp 4,818,000 "," Rp 550,000.00 "," Rp 3,300,000 "," Rp 1,518,000.00 ","0.17%"
"4","fu","M","sanitary","1","Pekerjaan Meja Dudukan Wastafel","1.00","unit",""," Rp 9,490,000 "," Rp 9,490,000 "," Rp 6,500,000.00 "," Rp 6,500,000 "," Rp 2,990,000.00 ","0.34%"
"5","PL","M","","1","Pekerjaan Wastafel + accessories","2.00","unit",""," Rp 1,387,000 "," Rp 2,774,000 "," Rp 950,000.00 "," Rp 1,900,000 "," Rp 874,000.00 ","0.10%"
"6","PL","M","","1","Pekerjaan Kran Wastafel","2.00","unit",""," Rp 700,800 "," Rp 1,401,600 "," Rp 480,000.00 "," Rp 960,000 "," Rp 441,600.00 ","0.05%"
"7","FU","M","sanitary","1","Pekerjaan Cermin Wastafel","2.00","unit",""," Rp 876,000 "," Rp 1,752,000 "," Rp 600,000.00 "," Rp 1,200,000 "," Rp 552,000.00 ","0.06%"
"8","FU","M","sanitary","1","Pekerjaan Kubikal Toilet","3.00","unit",""," Rp 2,774,000 "," Rp 8,322,000 "," Rp 1,900,000.00 "," Rp 5,700,000 "," Rp 2,622,000.00 ","0.30%"
"9","PL","M","","1","Pekerjaan Closet Duduk + accessories","3.00","unit",""," Rp 2,598,800 "," Rp 7,796,400 "," Rp 1,780,000.00 "," Rp 5,340,000 "," Rp 2,456,400.00 ","0.28%"
"10","PL","M","","1","Pekerjaan Jetwasher","3.00","unit",""," Rp 394,200 "," Rp 1,182,600 "," Rp 270,000.00 "," Rp 810,000 "," Rp 372,600.00 ","0.04%"
"11","PL","M","","1","Pekerjaan Urinoir ","3.00","unit",""," Rp 3,650,000 "," Rp 10,950,000 "," Rp 2,500,000.00 "," Rp 7,500,000 "," Rp 3,450,000.00 ","0.39%"
"12","FU","M","sanitary","1","Pekerjaan Partisi Urinoir ","2.00","unit",""," Rp 657,000 "," Rp 1,314,000 "," Rp 450,000.00 "," Rp 900,000 "," Rp 414,000.00 ","0.05%"
"13","PL","M","","1","Floor Drain 3'","4.00","unit",""," Rp 109,500 "," Rp 438,000 "," Rp 75,000.00 "," Rp 300,000 "," Rp 138,000.00 ","0.02%"
"","","","","1","Toilet Wanita","","","","","","","","","1.44%"
"1","PL","M","","1","Instalasi Air Bersih","5.00","ls",""," Rp 489,343 "," Rp 2,446,717 "," Rp 335,166.67 "," Rp 1,675,833 "," Rp 770,883.33 ","0.09%"
"2","PL","M","","1","Instalasi Air Bekas","4.00","ls",""," Rp 598,600 "," Rp 2,394,400 "," Rp 410,000.00 "," Rp 1,640,000 "," Rp 754,400.00 ","0.09%"
"3","PL","M","","1","Instalasi Air Kotor","3.00","ls",""," Rp 803,000 "," Rp 2,409,000 "," Rp 550,000.00 "," Rp 1,650,000 "," Rp 759,000.00 ","0.09%"
"4","fu","M","sanitary","1","Pekerjaan Meja Dudukan Wastafel","1.00","unit",""," Rp 9,490,000 "," Rp 9,490,000 "," Rp 6,500,000.00 "," Rp 6,500,000 "," Rp 2,990,000.00 ","0.34%"
"5","PL","M","","1","Pekerjaan Wastafel ","2.00","unit",""," Rp 700,800 "," Rp 1,401,600 "," Rp 480,000.00 "," Rp 960,000 "," Rp 441,600.00 ","0.05%"
"6","PL","M","","1","Pekerjaan Kran Wastafel ","2.00","unit",""," Rp 1,460,000 "," Rp 2,920,000 "," Rp 1,000,000.00 "," Rp 2,000,000 "," Rp 920,000.00 ","0.10%"
"7","FU","M","sanitary","1","Pekerjaan Cermin Wastafel","2.00","unit",""," Rp 876,000 "," Rp 1,752,000 "," Rp 600,000.00 "," Rp 1,200,000 "," Rp 552,000.00 ","0.06%"
"8","PL","M","","1","Pekerjaan Kubikal Toilet","3.00","unit",""," Rp 2,774,000 "," Rp 8,322,000 "," Rp 1,900,000.00 "," Rp 5,700,000 "," Rp 2,622,000.00 ","0.30%"
"9","PL","M","","1","Pekerjaan Closet Duduk ","3.00","unit",""," Rp 2,598,800 "," Rp 7,796,400 "," Rp 1,780,000.00 "," Rp 5,340,000 "," Rp 2,456,400.00 ","0.28%"
"10","PL","M","","1","Pekerjaan Jetwasher ","3.00","unit",""," Rp 394,200 "," Rp 1,182,600 "," Rp 270,000.00 "," Rp 810,000 "," Rp 372,600.00 ","0.04%"
"11","PL","M","","1","Floor Drain 3'","3.00","unit",""," Rp 109,500 "," Rp 328,500 "," Rp 75,000.00 "," Rp 225,000 "," Rp 103,500.00 ","0.01%"
"","","","","1","Janitor","","","","","","","","","0.05%"
"1","PL","M","","1","Instalasi Air Bersih","1.00","ls",""," Rp 489,343 "," Rp 489,343 "," Rp 335,166.67 "," Rp 335,167 "," Rp 154,176.67 ","0.02%"
"2","PL","M","","1","Instalasi Air Bekas","1.00","ls",""," Rp 598,600 "," Rp 598,600 "," Rp 410,000.00 "," Rp 410,000 "," Rp 188,600.00 ","0.02%"
"3","PL","M","","1","Pekerjaan Keran ","1.00","unit",""," Rp 321,200 "," Rp 321,200 "," Rp 220,000.00 "," Rp 220,000 "," Rp 101,200.00 ","0.01%"
"4","PL","M","","1","Floor Drain 3'","1.00","unit",""," Rp 109,500 "," Rp 109,500 "," Rp 75,000.00 "," Rp 75,000 "," Rp 34,500.00 ","0.00%"
"","","","","1","Area Wudhu","","","","","","","","","0.25%"
"1","PL","M","","1","Instalasi Air Bersih","6.00","ls",""," Rp 489,343 "," Rp 2,936,060 "," Rp 335,166.67 "," Rp 2,011,000 "," Rp 925,060.00 ","0.10%"
"2","PL","M","","1","Instalasi Air Bekas","3.00","ls",""," Rp 598,600 "," Rp 1,795,800 "," Rp 410,000.00 "," Rp 1,230,000 "," Rp 565,800.00 ","0.06%"
"3","PL","M","","1","Pekerjaan Keran Wudhu ","6.00","unit",""," Rp 321,200 "," Rp 1,927,200 "," Rp 220,000.00 "," Rp 1,320,000 "," Rp 607,200.00 ","0.07%"
"4","PL","M","","1","Floor Drain 3'","3.00","unit",""," Rp 109,500 "," Rp 328,500 "," Rp 75,000.00 "," Rp 225,000 "," Rp 103,500.00 ","0.01%"
"","","","","1","Pemadam Api","","","","","","","","","1.39%"
"1","SF","M","","1","APAR Tonata 6kg + Box Set","1.00","unit",""," Rp 1,752,000 "," Rp 1,752,000 "," Rp 1,200,000.00 "," Rp 1,200,000 "," Rp 552,000.00 ","0.06%"
"2","SF","B","","1","Sprinkler head  type pendant additional Ex. Viking","5.00","unit",""," Rp 3,942,000 "," Rp 19,710,000 "," Rp 2,700,000.00 "," Rp 13,500,000 "," Rp 6,210,000.00 ","0.70%"
"3","SF","B","","1","Black Steel Pipe (BSP) SCH.40  Ex. Spindo d=25mm","5.00","unit",""," Rp 1,460,000 "," Rp 7,300,000 "," Rp 1,000,000.00 "," Rp 5,000,000 "," Rp 2,300,000.00 ","0.26%"
"4","EL","B","SMOKE DETECTOR","1","Smoke Detector + Instalasi","5.00","unit",""," Rp 2,044,000 "," Rp 10,220,000 "," Rp 1,400,000.00 "," Rp 7,000,000 "," Rp 3,220,000.00 ","0.36%"
"3.1.2","","","","","Pekerjaan Elektrikal","","","","","","","","0",""
"F.2","","","","","Pekerjaan ME & Lighitng","","","","","","","","0",""
"1","EL","B","MCB","1","Box MCB + Akesoris","1.00","unit",""," Rp 3,650,000 "," Rp 3,650,000 "," Rp 2,500,000.00 "," Rp 2,500,000 "," Rp 1,150,000.00 ","0.13%"
"","","","","1","Workstation","","","","","","","","",""
"1","EL","B","SAKLAR","1","Switch Double + Instalasi","3.00","unit",""," Rp 365,000 "," Rp 1,095,000 "," Rp 250,000.00 "," Rp 750,000 "," Rp 345,000.00 ","0.04%"
